mu,VN,VCB,m112,m122,m222,lam1,lam2,lam3,lam4,lam5,yt,gp,g
254.585858585859,-536898038.57341,-543245555.772906,1888.16746992034,1035.06379953771,-60499.0695544584,0.00128032254838536,3.53893705066665,-0.0781934662141415,0.653249001485524,-0.590903079768506,1.30486958119021,0.349765052519493,0.652772638099666
255.090909090909,-537042045.323012,-543389795.323399,1887.36302268962,1035.08871433591,-60521.3384952077,0.00130372725388942,3.54113230951551,-0.0781380625768706,0.653409712199365,-0.591053723715161,1.30480524272739,0.349768811626294,0.652762165680631
255.59595959596,-537185975.578399,-543534205.832984,1886.55950378219,1035.11357272995,-60543.5808335357,0.00132709458029682,3.54332602018974,-0.0780827022364452,0.65357019108962,-0.591204151789623,1.30474106200481,0.3497725634187,0.652751714477799
256.10101010101,-537329829.88426,-543678786.341934,1885.75691000623,1035.13837495916,-60565.7966663253,0.00135042466755573,3.54551818816559,-0.0780273850512277,0.653730439007925,-0.591354364782047,1.30467703832391,0.349776307925358,0.652741284406377
256.606060606061,-537473608.783337,-543823535.915221,1884.9552381871,1035.16312126139,-60587.9860899208,0.00137371765481309,3.54770881889141,-0.0779721108802816,0.653890456801106,-0.591504363478137,1.30461317099061,0.349780045174743,0.652730875382075
257.111111111111,-537617312.816392,-543968453.642844,1884.15448516716,1035.18781187304,-60610.1492001323,0.00139697368042077,3.54989791778785,-0.0779168795833672,0.654050245311219,-0.591654148659182,1.30454945931525,0.349783775195167,0.652720487321108
257.616161616162,-537760942.522187,-544113538.640299,1883.35464780571,1035.212447029,-60632.2860922392,0.00142019288194168,3.55208549024803,-0.0778616910209367,0.654209805375581,-0.591803721102087,1.30448590261258,0.349787498014774,0.652710120140185
258.121212121212,-537904498.437459,-544258790.049178,1882.5557229788,1035.23702696276,-60654.3968609947,0.00144337539615585,3.55427154163776,-0.0778065450541291,0.654369137826812,-0.591953081579407,1.3044225002017,0.349791213661543,0.65269977375651
258.626262626263,-538047981.096903,-544404207.037974,1881.75770757913,1035.26155190634,-60676.4816006295,0.00146652135906638,3.55645607729574,-0.0777514415447661,0.654528243492865,-0.59210223085938,1.30435925140604,0.349794922163293,0.652689448087776
259.131313131313,-538191391.033153,-544549788.803101,1880.96059851595,1035.28602209034,-60698.5404048557,0.00148963090590539,3.55863910253372,-0.0776963803553472,0.654687123197066,-0.592251169705959,1.30429615555332,0.349798623547676,0.652679143052162
259.636363636364,-538334728.776772,-544695534.570224,1880.16439271493,1035.31043774395,-60720.5733668706,0.0015127041711399,3.56082062263669,-0.077641361349045,0.654845777758145,-0.592399898878847,1.3042332119755,0.349802317842189,0.652668858568329
260.141414141414,-538477994.856238,-544841443.59597,1879.36908711801,1035.33479909495,-60742.5805793611,0.00153574128847767,3.56300064286309,-0.0775863843897007,0.655004207990275,-0.592548419133527,1.30417042000877,0.349806005074164,0.652658594555417
260.646464646465,-538621189.797936,-544987515.170159,1878.57467868334,1035.35910636973,-60764.5621345064,0.00155874239087292,3.56517916844499,-0.0775314493418198,0.655162414703101,-0.592696731221291,1.30410777899349,0.349809685270779,0.652648350933038
261.151515151515,-538764314.126149,-545133748.618751,1877.7811643851,1035.38335979329,-60786.518123983,0.00158170761053207,3.56735620458824,-0.0774765560705674,0.655320398701779,-0.592844835889276,1.30404528827417,0.349813358459054,0.652638127621276
261.656565656566,-538907368.363055,-545280143.307791,1876.98854121342,1035.40755958928,-60808.4486389676,0.0016046370789194,3.5695317564727,-0.0774217044417637,0.655478160787006,-0.592992733880492,1.30398294719945,0.349817024665851,0.652627924540684
262.161616161616,-539050353.028721,-545426698.648823,1876.19680617427,1035.43170597997,-60830.353770141,0.00162753092676263,3.57170582925239,-0.0773668943218798,0.655635701755055,-0.593140425933856,1.30392075512203,0.34982068391788,0.652617741612275
262.666666666667,-539193268.641098,-545573414.106541,1875.40595628933,1035.4557991863,-60852.2336076919,0.0016503892840585,3.57387842805566,-0.0773121255780334,0.655793022397808,-0.593287912784219,1.30385871139866,0.349824336241698,0.652607578757524
263.171717171717,-539336115.716021,-545720289.210031,1874.61598859589,1035.47983942784,-60874.0882413204,0.00167321228007823,3.57604955798541,-0.077257398077984,0.655950123502789,-0.593435195162398,1.30379681539011,0.349827981663706,0.652597435898361
263.676767676768,-539478894.767213,-545867323.570168,1873.8269001467,1035.50382692288,-60895.9177602417,0.00169600004337301,3.57821922411921,-0.0772027116901291,0.656107005853195,-0.593582273795204,1.30373506646113,0.349831620210158,0.65258731295717
